Códigos de gasto con cantidad física	Cantidades medias consumidas	Periodo	Total
01111 Arroz (kilo)	Cantidad consumida media por persona	2015	5,8
01112 Pan (kilo)	Cantidad consumida media por persona	2015	44,8
01113 Otros productos de panadería (kilo)	Cantidad consumida media por persona	2015	12,0
01114 Pastas alimenticias (kilo)	Cantidad consumida media por persona	2015	5,1
01121 Carne de bovino fresca, refrigerada o congelada (kilo)	Cantidad consumida media por persona	2015	4,7
01122 Carne de porcino fresca, refrigerada o congelada (kilo)	Cantidad consumida media por persona	2015	7,6
01123 Carne de ovino y caprino fresca, refrigerada o congelada (kilo)	Cantidad consumida media por persona	2015	1,2
01124 Carne de ave fresca, refrigerada o congelada (kilo)	Cantidad consumida media por persona	2015	13,8
01125 Charcutería y carne seca, salada o ahumada (kilo)	Cantidad consumida media por persona	2015	16,5
01126 Carnes preparadas y otros productos conteniendo carne (kilo)	Cantidad consumida media por persona	2015	6,0
01127 Otras carnes comestibles (frescas y congeladas) (kilo)	Cantidad consumida media por persona	2015	0,9
01128 Despojos, menudillos y casquería (kilo)	Cantidad consumida media por persona	2015	1,3
01131 Pescados frescos o refrigerados (kilo)	Cantidad consumida media por persona	2015	8,6
01132 Pescados congelados (kilo)	Cantidad consumida media por persona	2015	1,9
01133 Crustáceos y moluscos frescos, refrigerados o congelados (kilo)	Cantidad consumida media por persona	2015	4,5
01134 Pescados y mariscos secos, ahumados o salados (kilo)	Cantidad consumida media por persona	2015	0,6
01135 Otros pescados y mariscos procesados o conservados y preparados de pescados y mariscos (kilo)	Cantidad consumida media por persona	2015	5,7
01141 Leche entera (litro)	Cantidad consumida media por persona	2015	29,5
01142 Leche semidescremada y descremada (litro)	Cantidad consumida media por persona	2015	42,9
01143 Leche conservada (kilo)	Cantidad consumida media por persona	2015	0,4
01144 Yogures y leches fermentadas (kilo)	Cantidad consumida media por persona	2015	17,0
01145 Queso y requesón (kilo)	Cantidad consumida media por persona	2015	7,1
01146 Otros productos a base de leche (kilo)	Cantidad consumida media por persona	2015	10,0
01147 Huevos (unidad)	Cantidad consumida media por persona	2015	135,1
01151 Mantequilla (kilo)	Cantidad consumida media por persona	2015	0,4
01152 Margarina y otras grasas vegetales (kilo)	Cantidad consumida media por persona	2015	0,7
01153 Aceite de oliva (litro)	Cantidad consumida media por persona	2015	9,1
01154 Otros aceites comestibles (litro)	Cantidad consumida media por persona	2015	4,2
01155 Otras grasas animales (kilo)	Cantidad consumida media por persona	2015	0,0
01161 Cítricos (frescos, refrigerados o congelados) (kilo)	Cantidad consumida media por persona	2015	24,5
01162 Plátanos (frescos, refrigerados o congelados) (kilo)	Cantidad consumida media por persona	2015	10,5
01163 Manzanas (frescas, refrigeradas o congeladas) (kilo)	Cantidad consumida media por persona	2015	9,7
01164 Peras (frescas, refrigeradas o congeladas) (kilo)	Cantidad consumida media por persona	2015	4,2
01165 Frutas con hueso (frescas, refrigeradas o congeladas) (kilo)	Cantidad consumida media por persona	2015	8,7
01166 Aceitunas (kilo)	Cantidad consumida media por persona	2015	1,6
01167 Bayas (frescas, refrigeradas o congeladas) (kilo)	Cantidad consumida media por persona	2015	3,3
01168 Otras frutas (frescas, refrigeradas o congeladas) (kilo)	Cantidad consumida media por persona	2015	18,4
01169 Frutos secos (kilo)	Cantidad consumida media por persona	2015	3,2
01160 Frutas preparadas y en conserva (kilo)	Cantidad consumida media por persona	2015	0,9
01171 Hortalizas de hoja o de tallo (frescas o refrigeradas) (kilo)	Cantidad consumida media por persona	2015	7,3
01172 Coles (frescas o refrigeradas) (kilo)	Cantidad consumida media por persona	2015	2,8
01173 Hortalizas cultivadas por su fruto (frescas o refrigeradas) (kilo)	Cantidad consumida media por persona	2015	23,7
01174 Hortalizas con raíz o bulbo y setas (frescas o refrigeradas) (kilo)	Cantidad consumida media por persona	2015	13,5
01175 Legumbres y hortalizas secas (kilo)	Cantidad consumida media por persona	2015	2,8
01176 Verduras congeladas (kilo)	Cantidad consumida media por persona	2015	2,2
01177 Legumbres y hortalizas en conserva o preparadas y otros productos a base de legumbres y hortalizas (kilo)	Cantidad consumida media por persona	2015	8,7
01178 Patatas (kilo)	Cantidad consumida media por persona	2015	27,0
01179 Productos derivados de las patatas, mandioca y otros tubérculos (kilo)	Cantidad consumida media por persona	2015	1,8
01181 Azúcar (kilo)	Cantidad consumida media por persona	2015	4,2
01182 Confitura, mermelada y miel (kilo)	Cantidad consumida media por persona	2015	1,5
01183 Chocolate en barra o en tableta (kilo)	Cantidad consumida media por persona	2015	1,8
01185 Helados (kilo)	Cantidad consumida media por persona	2015	2,8
01186 Otros productos a base de azúcar (kilo)	Cantidad consumida media por persona	2015	0,4
01211 Café (kilo)	Cantidad consumida media por persona	2015	2,3
01212 Té e infusiones (kilo)	Cantidad consumida media por persona	2015	0,4
01213 Cacao (kilo)	Cantidad consumida media por persona	2015	1,2
01221 Agua mineral (litro)	Cantidad consumida media por persona	2015	85,7
01222 Bebidas refrescantes con o sin gas (litro)	Cantidad consumida media por persona	2015	45,8
01223 Zumos de frutas (litro)	Cantidad consumida media por persona	2015	16,9
01224 Zumos de vegetales (litro)	Cantidad consumida media por persona	2015	0,1
